id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,clu2_1,qcl_1,lnx2,lnx4,lnx6,sre_1,split,x15,x16
89,2.9,1.2,7.3,6.1,2,2.5,8,grande,34,4,especificacion,centralizada,tipo 2,nueva,2,2,.182321556793955,1.80828877117927,.916290731874155,-.66405246887915,Seleccionado,Menos de la media,menor uso
90,4.3,2.5,9.3,6.3,3.4,4,7.4,pequeña,60,6.1,valor total,descentralizada,tipo 1,recompra,1,1,.916290731874155,1.84054963339749,1.38629436111989,.840196408608187,No seleccionado,Más de la media,mayoruso
91,3,2.8,7.8,7.1,3,3.8,7.9,pequeña,49,4.4,valor total,centralizada,tipo 2,recompra modificada,2,2,1.02961941718116,1.96009478404727,1.33500106673234,.228678156578277,Seleccionado,Más de la media,uso intermedio
92,4.8,1.7,7.6,4.2,3.3,1.4,5.8,pequeña,39,5.5,valor total,descentralizada,tipo 1,recompra modificada,1,1,.53062825106217,1.43508452528932,.336472236621213,-1.69306129060993,Seleccionado,Menos de la media,menor uso
93,3.1,4.2,5.1,7.8,3.6,4,5.9,pequeña,43,5.2,valor total,centralizada,tipo 2,recompra modificada,2,2,1.43508452528932,2.05412373369555,1.38629436111989,-.178208432380434,No seleccionado,Menos de la media,uso intermedio
94,1.9,2.7,5,4.9,2.2,2.5,8.2,grande,36,3.6,especificacion,centralizada,tipo 1,nueva,2,2,.993251773010283,1.58923520511658,.916290731874155,1.2586634971427,Seleccionado,Menos de la media,menor uso
95,4,.5,6.7,4.5,2.2,2.1,5,pequeña,31,4,valor total,descentralizada,tipo 2,nueva,1,1,-.693147180559945,1.50407739677627,.741937344729377,-1.11260289919503,Seleccionado,Menos de la media,menor uso
96,.6,1.6,6.4,5,.7,2.1,8.4,grande,25,3.4,especificacion,centralizada,tipo 2,nueva,2,2,.470003629245736,1.6094379124341,.741937344729377,.392042441335085,Seleccionado,Menos de la media,menor uso
97,6.1,.5,9.2,4.8,3.3,2.8,7.1,pequeña,60,5.2,valor total,descentralizada,tipo 2,recompra,1,1,-.693147180559945,1.56861591791385,1.02961941718116,1.46612342697626,No seleccionado,Más de la media,mayoruso
98,2,2.8,5.2,5,2.4,2.7,8.4,grande,38,3.7,especificacion,centralizada,tipo 1,nueva,2,2,1.02961941718116,1.6094379124341,.993251773010283,1.14028943163985,No seleccionado,Menos de la media,menor uso
99,3.1,2.2,6.7,6.8,2.6,2.9,8.4,grande,42,4.3,especificacion,centralizada,tipo 1,nueva,2,2,.78845736036427,1.91692261218206,1.06471073699243,.462477044723769,Seleccionado,Menos de la media,uso intermedio
100,2.5,1.8,9,5,2.2,3,6,pequeña,33,4.4,valor total,descentralizada,tipo 1,nueva,2,1,.587786664902119,1.6094379124341,1.09861228866811,-2.7392946650247,Seleccionado,Menos de la media,menor uso
